symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
DDG,HNX,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Indochine Import Export Investment Industrial JSC,STOCK,64.0,Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Tiện ích,Tiện ích,Tiện tích tổng hợp,Utilities,Utilities,Multi-Utilities,59839886,CURRENT_LOCKED
DDV,UPCOM,CTCP DAP - VINACHEM,DAP - VINACHEM JSC,STOCK,65.0,DAP - VINACHEM,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,146109900,CURRENT_LOCKED
DGW,HOSE,CTCP Thế Giới Số,DIGIWORLD CORP.,STOCK,66.0,Thế Giới Số,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,219320169,CURRENT_LOCKED
DGC,HOSE,CTCP Tập đoàn Hóa chất Đức Giang,Duc Giang Chemicals Group JSC,STOCK,67.0,Hóa chất Đức Giang,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,379779286,CURRENT_LOCKED
DHB,UPCOM,CTCP Phân đạm và Hóa chất Hà Bắc,Habac Nitrogenous Fertilizer & Chemicals Joint Stock Company,STOCK,68.0,Phân đạm và Hóa chất Hà Bắc,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,272200000,CURRENT_LOCKED
DHC,HOSE,CTCP Đông Hải Bến Tre,Dong Hai Joint Stock Company of Bentre,STOCK,69.0,Đông Hải Bến Tre,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Materials,Materials,Paper & Forest Products,96591206,CURRENT_LOCKED
DHM,HOSE,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Duong Hieu Trading and Mining Development JSC,STOCK,70.0,Thương mại và Khai thác Khoáng sản Dương Hiếu,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,34535699,CURRENT_LOCKED
DIG,HOSE,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Development Investment Construction JSC,STOCK,71.0,Đầu tư Phát triển Xây dựng,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,646431191,CURRENT_LOCKED
DLG,HOSE,CTCP Tập đoàn Đức Long Gia Lai,Duc Long Gia Lai Group JSC,STOCK,72.0,Đức Long Gia Lai,Công nghệ thông tin,Phần cứng và thiết bị,Điện tử,Information Technology,Hardware,"Electronic Equipment, Instruments & Components",299309720,CURRENT_LOCKED
DPG,HOSE,CTCP Tập đoàn Đạt Phương,Dat Phuong Group Joint Stock Company,STOCK,73.0,Đạt Phương,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,100799032,CURRENT_LOCKED
DPM,HOSE,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Petrovietnam Fertilizer & Chemicals Corporation,STOCK,74.0,Phân bón và Hóa chất Dầu khí - CTCP,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,679990761,CURRENT_LOCKED
DRC,HOSE,CTCP Cao su Đà Nẵng,Danang Rubber Joint Stock Company,STOCK,75.0,Cao su Đà Nẵng,Tiêu dùng không thiết yếu,Xe và linh kiện,Linh kiện xe,Consumer Discretionary,Automobiles & Components,Automobile Components,154429283,CURRENT_LOCKED
DRI,UPCOM,CTCP Đầu tư Cao su Đắk Lắk,DakLak Rubber Investment JSC,STOCK,76.0,Đầu tư Cao su Đắk Lắk,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,73200000,CURRENT_LOCKED
DSE,HOSE,CTCP Chứng khoán DNSE,DNSE Securities JSC,STOCK,77.0,Chứng khoán DNSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,339900000,CURRENT_LOCKED
DSH,UPCOM,CTCP Đầu tư Hạ tầng Đông Sơn,Dong Son Infrastructure Investment Joint Stock Company,STOCK,78.0,Đầu tư Hạ tầng Đông Sơn,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,10000000,CURRENT_LOCKED
