symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
PNJ,HOSE,CTCP Vàng bạc Đá quý Phú Nhuận,Phu Nhuan Jewelry Joint Stock Company,STOCK,180.0,Vàng bạc Đá quý Phú Nhuận,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,338074776,CURRENT_LOCKED
POW,HOSE,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,PetroVietnam Power Corporation,STOCK,181.0,Điện lực Dầu khí Việt Nam - CTCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,2341871600,CURRENT_LOCKED
PPC,HOSE,CTCP Nhiệt điện Phả Lại,Pha Lai Thermal Power Joint Stock Company,STOCK,182.0,Nhiệt điện Phả Lại,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,326235000,CURRENT_LOCKED
PVS,HNX,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,PetroVietnam Technical Services Corporation,STOCK,183.0,Dịch vụ Kỹ thuật Dầu khí Việt Nam,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Energy,Energy,Energy Equipment & Services,477966290,CURRENT_LOCKED
PVT,HOSE,Tổng Công ty cổ phần Vận tải Dầu khí,Petrovietnam Transportation Corporation,STOCK,184.0,Vận tải Dầu khí,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",469931235,CURRENT_LOCKED
PVP,HOSE,CTCP Vận tải Dầu khí Thái Bình Dương,Pacific Petroleum Transportation JSC,STOCK,185.0,Vận tải Dầu khí Thái Bình Dương,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",103702452,CURRENT_LOCKED
PVC,HNX,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,PetroVietNam Chemical And Services Joint Stock Corporation,STOCK,186.0,Hóa chất và Dịch vụ Dầu khí - CTCP,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Energy,Energy,Energy Equipment & Services,81194463,CURRENT_LOCKED
QCG,HOSE,CTCP Quốc Cường Gia Lai,Quoc Cuong Gia Lai Joint Stock Company,STOCK,187.0,Quốc Cường Gia Lai,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,275129310,CURRENT_LOCKED
QTP,UPCOM,CTCP Nhiệt điện Quảng Ninh,Quang Ninh Thermal Power Joint Stock Company,STOCK,188.0,Nhiệt điện Quảng Ninh,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,450000000,CURRENT_LOCKED
REE,HOSE,CTCP Cơ Điện Lạnh,Refrigeration Electrical Engineering Corporation,STOCK,189.0,Cơ Điện Lạnh,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,541658139,CURRENT_LOCKED
SAB,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Saigon Beer - Alcohol - Beverage Corporation,STOCK,190.0,Bia - Rượu - Nước giải khát Sài Gòn,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,1282562372,CURRENT_LOCKED
SBS,UPCOM,CTCP Chứng khoán SBS,SBS Securities Joint Stock Company,STOCK,191.0,Chứng khoán SBS,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,146607600,CURRENT_LOCKED
SBT,HOSE,CTCP Thành Thành Công - Biên Hòa,Thanh Thanh Cong - Bien Hoa JSC,STOCK,192.0,Thành Thành Công - Biên Hòa,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,814545038,CURRENT_LOCKED
SCL,UPCOM,CTCP Sông Đà Cao Cường,Song Da Cao Cuong JSC,STOCK,193.0,Sông Đà Cao Cường,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,22392839,CURRENT_LOCKED
SCR,HOSE,CTCP Địa ốc Sài Gòn Thương Tín,Sai Gon Thuong Tin Real Estate JSC,STOCK,194.0,Địa ốc Sài Gòn Thương Tín,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,430595036,CURRENT_LOCKED
SCS,HOSE,CTCP Dịch vụ Hàng hóa Sài Gòn,SCSC Cargo Service Corporation,STOCK,195.0,Dịch vụ Hàng hóa Sài Gòn,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,94886982,CURRENT_LOCKED
SHB,HOSE,Ngân hàng TMCP Sài Gòn - Hà Nội,Saigon Hanoi Commercial Joint Stock Bank,STOCK,196.0,Sài Gòn - Hà Nội,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,4594200024,CURRENT_LOCKED
SHI,HOSE,CTCP Quốc tế Sơn Hà,Son Ha International Corporation,STOCK,197.0,Quốc tế Sơn Hà,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Industrials,Capital Goods,Machinery,170268409,CURRENT_LOCKED
SHN,HNX,CTCP Đầu tư Tổng hợp Hà Nội,Ha Noi Investment General Corporation,STOCK,198.0,Đầu tư Tổng hợp Hà Nội,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,129607147,CURRENT_LOCKED
SHS,HNX,CTCP Chứng khoán Sài Gòn - Hà Nội,Saigon - Hanoi Securities JSC,STOCK,199.0,Chứng khoán Sài Gòn - Hà Nội,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,894462220,CURRENT_LOCKED
SSI,HOSE,CTCP Chứng khoán SSI,SSI Securities Corporation,STOCK,200.0,Chứng khoán SSI,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,2077906262,CURRENT_LOCKED
STB,HOSE,Ngân hàng TMCP Sài Gòn Thương Tín,Sai Gon Thuong Tin Commercial Joint Stock Bank,STOCK,201.0,Sài Gòn Thương Tín,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,1885215716,CURRENT_LOCKED
SVN,HNX,CTCP Tập đoàn Vexilla Việt Nam,Vexilla Viet Nam Group Joint Stock Company,STOCK,202.0,Vexilla Việt Nam,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,21000000,CURRENT_LOCKED
SZC,HOSE,CTCP Sonadezi Châu Đức,SONADEZI Chau Duc Shareholding Company,STOCK,203.0,Sonadezi Châu Đức,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,179985863,CURRENT_LOCKED
TAH,UPCOM,CTCP Thương mại Dịch vụ Giấy Thuận An,Thuan An Paper Service Trading Joint Stock Company,STOCK,204.0,Thương mại Dịch vụ Giấy Thuận An,Nguyên vật liệu,Nguyên vật liệu,Giấy và lâm sản,Materials,Materials,Paper & Forest Products,0,CURRENT_LOCKED
TAL,HOSE,CTCP Đầu tư Bất động sản Taseco,Taseco Land Investment Joint Stock Company,STOCK,205.0,Đầu tư Bất động sản Taseco,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,311850000,CURRENT_LOCKED
TCB,HOSE,Ngân hàng TMCP Kỹ thương Việt Nam,Vietnam Technological and Commercial Joint Stock Bank,STOCK,206.0,Kỹ thương Việt Nam,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,7064851739,CURRENT_LOCKED
TCH,HOSE,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,Hoang Huy Investment Financial Services JSC,STOCK,207.0,Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,668215843,CURRENT_LOCKED
TCM,HOSE,CTCP Dệt may - Đầu tư - Thương mại Thành Công,Thanh Cong Textile Garment Investment Trading Joint Stock Company,STOCK,208.0,Dệt may - Đầu tư - Thương mại Thành Công,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",112139205,CURRENT_LOCKED
TCX,HOSE,CTCP Chứng khoán Kỹ Thương,Techcom Securities Joint Stock Company,STOCK,209.0,Chứng khoán Kỹ Thương,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,0,CURRENT_LOCKED
TDC,HOSE,CTCP Kinh doanh và Phát triển Bình Dương,Binh Duong Trade And Development JSC,STOCK,210.0,Kinh doanh và Phát triển Bình Dương,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,127228000,CURRENT_LOCKED
TDP,HOSE,CTCP Thuận Đức,Thuan Duc Joint Stock Company,STOCK,211.0,Thuận Đức,Nguyên vật liệu,Nguyên vật liệu,Bao bì và vật chứa,Materials,Materials,Containers & Packaging,88222250,CURRENT_LOCKED
TIG,HNX,CTCP Tập đoàn Đầu tư Thăng Long,Thang Long Investment Group JSC,STOCK,212.0,Đầu tư Thăng Long,Bất động sản,Bất động sản,Bất động sản đa dạng,Real Estate,Real Estate,Diversified Real Estate Activities,193606205,CURRENT_LOCKED
TNI,HOSE,CTCP Tập đoàn Thành Nam,Thanh Nam Group Joint Stock Company,STOCK,213.0,Thành Nam,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,52500000,CURRENT_LOCKED
TNG,HNX,CTCP Đầu tư và Thương mại TNG,TNG Investment and Trading JSC,STOCK,214.0,Đầu tư và Thương mại TNG,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",122601206,CURRENT_LOCKED
TOS,UPCOM,CTCP Dịch vụ biển Tân Cảng,Tan Cang Offshore Services JSC,STOCK,215.0,Dịch vụ biển Tân Cảng,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,30999886,CURRENT_LOCKED
TPB,HOSE,Ngân hàng TMCP Tiên Phong,Tien Phong Commercial Joint Stock Bank,STOCK,216.0,Tiên Phong,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,2641956196,CURRENT_LOCKED
TTF,HOSE,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,Truong Thanh Furniture Corporation,STOCK,217.0,Kỹ nghệ gỗ Trường Thành,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,393548302,CURRENT_LOCKED
TV2,HOSE,CTCP Tư vấn Xây dựng Điện 2,Power Engineering Consulting JSC 2,STOCK,218.0,Tư vấn Xây dựng Điện 2,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,Industrials,Comm. & Prof. Services,Professional Services,67526165,CURRENT_LOCKED
TVN,UPCOM,Tổng Công ty Thép Việt Nam - CTCP,Viet Nam Steel Corporation,STOCK,219.0,Thép Việt Nam - CTCP,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,678000000,CURRENT_LOCKED
VAB,HOSE,Ngân hàng TMCP Việt Á,Vietnam - Asia Commercial Joint Stock Bank,STOCK,220.0,Việt Á,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,816360672,CURRENT_LOCKED
VC3,HNX,CTCP Tập đoàn Nam Mê Kông,Nam MeKong Group JSC,STOCK,221.0,Nam Mê Kông,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,125150939,CURRENT_LOCKED
VC7,HNX,CTCP Tập đoàn BGI,BGI Group JSC,STOCK,222.0,BGI,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,96090870,CURRENT_LOCKED
VCB,HOSE,Ngân hàng TMCP Ngoại thương Việt Nam,Bank for Foreign Trade of Vietnam,STOCK,223.0,Ngoại thương Việt Nam,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,8355675094,CURRENT_LOCKED
VCG,HOSE,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Vietnam Construction And Import-Export Joint Stock Corporation,STOCK,224.0,Xuất nhập khẩu và Xây dựng Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,646468336,CURRENT_LOCKED
VCI,HOSE,CTCP Chứng khoán Vietcap,Vietcap Securities Joint Stock Company,STOCK,225.0,Chứng khoán Vietcap,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,722600000,CURRENT_LOCKED
VCK,HOSE,CTCP Chứng khoán VPS,VPS Securities Joint Stock Company,STOCK,226.0,Chứng khoán VPS,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,0,CURRENT_LOCKED
VDS,HOSE,CTCP Chứng khoán Rồng Việt,Viet Dragon Securities Corporation,STOCK,227.0,Chứng khoán Rồng Việt,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,267300000,CURRENT_LOCKED
VEA,UPCOM,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP,Viet Nam Engine And Agricultural Machinery Corporation,STOCK,228.0,Máy động lực và Máy nông nghiệp Việt Nam – CTCP,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Industrials,Capital Goods,Machinery,1328800000,CURRENT_LOCKED
VFS,HNX,CTCP Chứng khoán Nhất Việt,Viet First Securities Corporation,STOCK,229.0,Chứng khoán Nhất Việt,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,129599879,CURRENT_LOCKED
VGC,HOSE,Tổng Công ty Viglacera - CTCP,Viglacera Corporation - JSC,STOCK,230.0,Viglacera - CTCP,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Industrials,Capital Goods,Building Products,448350000,CURRENT_LOCKED
VGI,UPCOM,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,Viettel Global Investment JSC,STOCK,231.0,Đầu tư Quốc tế Viettel,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông không dây,Communication Services,Telecommunication,Wireless Telecommunication Services,3043811200,CURRENT_LOCKED
VGT,UPCOM,Tập đoàn Dệt May Việt Nam,Vietnam National Textile & Garment Group,STOCK,232.0,Dệt May Việt Nam,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",500000000,CURRENT_LOCKED
VHC,HOSE,CTCP Vĩnh Hoàn,Vinh Hoan Corporation,STOCK,233.0,Vĩnh Hoàn,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,224453159,CURRENT_LOCKED
VHE,HNX,CTCP Dược liệu và Thực phẩm Việt Nam,Vietnam Herbs and Foods Joint Stock Company,STOCK,234.0,Dược liệu và Thực phẩm Việt Nam,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,33140000,CURRENT_LOCKED
VHG,UPCOM,CTCP Đầu tư Phát triển Việt Trung Nam,Viet Trung Nam Investment And Development JSC,STOCK,235.0,Đầu tư Phát triển Việt Trung Nam,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,150000000,CURRENT_LOCKED
VHM,HOSE,CTCP Vinhomes,Vinhomes JSC,STOCK,236.0,Vinhomes,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,4107412004,CURRENT_LOCKED
VIB,HOSE,Ngân hàng TMCP Quốc tế Việt Nam,Vietnam International Commercial Joint Stock Bank,STOCK,237.0,Quốc tế Việt Nam,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,3404005710,CURRENT_LOCKED
VIC,HOSE,Tập đoàn VINGROUP - CTCP,Vingroup Joint Stock Company,STOCK,238.0,VINGROUP - CTCP,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,3823661561,CURRENT_LOCKED
VIW,UPCOM,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam,Vietnam Water & Environment Investment Corporation JSC,STOCK,239.0,Đầu tư Nước và Môi trường Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,58018600,CURRENT_LOCKED
VIX,HOSE,CTCP Chứng khoán VIX,VIX Securities Joint Stock Company,STOCK,240.0,Chứng khoán VIX,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,1531429858,CURRENT_LOCKED
VJC,HOSE,CTCP Hàng không Vietjet,Vietjet Aviation Joint Stock Company,STOCK,241.0,Hàng không Vietjet,Công nghiệp,Vận tải,Hãng hàng không chở khách,Industrials,Transportation,Passenger Airlines,591611334,CURRENT_LOCKED
VND,HOSE,CTCP Chứng khoán VNDIRECT,VNDIRECT Securities Corporation,STOCK,242.0,Chứng khoán VNDIRECT,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,1522299908,CURRENT_LOCKED
VNE,HOSE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam,Vietnam Electricity Construction Joint Stock Corporation,STOCK,243.0,Xây dựng Điện Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Industrials,Capital Goods,Electrical Equipment,90432953,CURRENT_LOCKED
VNM,HOSE,CTCP Sữa Việt Nam,Viet Nam Dairy Products Joint Stock Company,STOCK,244.0,Sữa Việt Nam,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,2089955445,CURRENT_LOCKED
VOS,HOSE,CTCP Vận tải Biển Việt Nam,Viet Nam Ocean Shipping JSC,STOCK,245.0,Vận tải Biển Việt Nam,Công nghiệp,Vận tải,Vận tải biển,Industrials,Transportation,Marine Transportation,140000000,CURRENT_LOCKED
VPB,HOSE,Ngân hàng TMCP Việt Nam Thịnh Vượng,Vietnam Prosperity Joint Stock Commercial Bank,STOCK,246.0,Việt Nam Thịnh Vượng,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,7933923601,CURRENT_LOCKED
VPG,HOSE,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Viet Phat Import Export Trading Investment JSC,STOCK,247.0,Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,88415751,CURRENT_LOCKED
VPI,HOSE,CTCP Phát triển Bất động sản Văn Phú,Van Phu Real Estate Development Joint Stock Company,STOCK,248.0,Phát triển Bất động sản Văn Phú,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,320049577,CURRENT_LOCKED
VPL,HOSE,CTCP Vinpearl,Vinpearl Joint Stock Company,STOCK,249.0,Vinpearl,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",1793300377,CURRENT_LOCKED
VPX,HOSE,CTCP Chứng khoán VPBank,VPBank Securities Joint Stock Company,STOCK,250.0,Chứng khoán VPBank,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,0,CURRENT_LOCKED
VRE,HOSE,CTCP Vincom Retail,Vincom Retail Joint Stock Company,STOCK,251.0,Vincom Retail,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,2328818410,CURRENT_LOCKED
VSC,HOSE,CTCP Container Việt Nam,Vietnam Container Shipping Joint Stock Corporation,STOCK,252.0,Container Việt Nam,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,374370362,CURRENT_LOCKED
VTO,HOSE,CTCP Vận tải Xăng dầu Vitaco,Viet Nam Tanker Joint Stock Company,STOCK,253.0,Vận tải Xăng dầu Vitaco,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",79866666,CURRENT_LOCKED
VTP,HOSE,Tổng Công ty cổ phần Bưu chính Viettel,Viettel Post Joint Stock Corporation,STOCK,254.0,Bưu chính Viettel,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Industrials,Transportation,Air Freight & Logistics,121783042,CURRENT_LOCKED
VTZ,HNX,CTCP Sản xuất và Thương mại Nhựa Việt Thành,Viet Thanh Plastic Trading And Manufacturing Joint Stock Company,STOCK,255.0,Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,76159833,CURRENT_LOCKED
VTV,HNX,CTCP Năng lượng và Môi trường VICEM,VICEM Energy And Enviroment JSC,STOCK,256.0,Năng lượng và Môi trường VICEM,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",31199825,CURRENT_LOCKED
VVS,UPCOM,CTCP Đầu tư phát triển máy Việt Nam,Vietnam Machine Investment Development Joint Stock Company,STOCK,257.0,Đầu tư phát triển máy Việt Nam,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,21525000,CURRENT_LOCKED
YEG,HOSE,CTCP Tập đoàn Yeah1,Yeah1 Group Corporation,STOCK,258.0,Yeah1,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Communication Services,Media & Entertainment,Media,191802035,CURRENT_LOCKED
SSB,HOSE,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,STOCK,259.0,Đông Nam Á,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,2845000000,EXPANDED
PGV,HOSE,Tổng Công ty Phát điện 3 - CTCP,Power Generation Joint Stock Corporation 3,STOCK,260.0,Phát điện 3 - CTCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,1123468046,EXPANDED
ITA,UPCOM,CTCP Đầu tư và Công nghiệp Tân Tạo,Tan Tao Investment and Industry Corporation,STOCK,261.0,Đầu tư và Công nghiệp Tân Tạo,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,938463607,EXPANDED
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,Bamboo Capital Group Joint Stock Company,STOCK,262.0,Bamboo Capital,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Industrials,Capital Goods,Industrial Conglomerates,880210644,EXPANDED
VBB,UPCOM,Ngân hàng TMCP Việt Nam Thương Tín,Vietnam Thuong Tin Commercial Joint Stock Bank,STOCK,263.0,Việt Nam Thương Tín,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,821031970,EXPANDED
BGE,UPCOM,CTCP BCG Energy,BCG Energy Joint Stock Company,STOCK,264.0,BCG Energy,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,730000000,EXPANDED
FLC,UPCOM,CTCP Tập đoàn FLC,FLC Group JSC,STOCK,265.0,FLC,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,709997807,EXPANDED
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,STOCK,266.0,Điện lực TKV - CTCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,682767475,EXPANDED
PVD,HOSE,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,PetroVietnam Drilling & Well Services Corporation,STOCK,267.0,Khoan và Dịch vụ khoan Dầu khí,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Energy,Energy,Energy Equipment & Services,556296006,EXPANDED
HND,UPCOM,CTCP Nhiệt điện Hải Phòng,Hai Phong Thermal Power Joint Stock Company,STOCK,268.0,Nhiệt điện Hải Phòng,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,500000000,EXPANDED
PGB,UPCOM,Ngân hàng TMCP Thịnh vượng và Phát triển,Prosperity and Growth Commercial Joint Stock Bank,STOCK,269.0,Thịnh vượng và Phát triển,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,500000000,EXPANDED
VSF,UPCOM,Tổng Công ty Lương thực Miền Nam - CTCP,Vietnam Southern Food Corporation - JSC,STOCK,270.0,Lương thực Miền Nam - CTCP,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,500000000,EXPANDED
BCR,UPCOM,CTCP BCG Land,BCG Land Joint Stock Company,STOCK,271.0,BCG Land,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,473799913,EXPANDED
SJG,UPCOM,Tổng Công ty Sông Đà - CTCP,SONG DA CORPORATION - JSC,STOCK,272.0,Sông Đà - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,449537112,EXPANDED
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,STOCK,273.0,Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,422400000,EXPANDED
MPC,UPCOM,CTCP Tập đoàn Thủy sản Minh Phú,Minh Phu Seafood Corporation,STOCK,274.0,Thủy sản Minh Phú,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,400938300,EXPANDED
PVX,UPCOM,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Petro Vietnam Construction Joint Stock Corporation,STOCK,275.0,Xây lắp Dầu khí Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,400000000,EXPANDED
CC1,UPCOM,Tổng Công ty Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company,STOCK,276.0,Xây dựng Số 1 - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,397906100,EXPANDED
