symbol,exchange,source,status,sessions_available,latest_date,latest_close,ma200,ma200_status,avg_volume_10,avg_volume_10_status,updated_at,elapsed_seconds,error
SHS,HNX,KBS,OK,297,2026-07-30,15.6,19.242000000000004,OK,13358520.0,OK,2026-07-31T01:27:04.742634+07:00,1.57,
SVN,HNX,KBS,OK,297,2026-07-30,2.8,2.4665,OK,234000.0,OK,2026-07-31T01:27:09.211686+07:00,1.17,
TIG,HNX,KBS,OK,297,2026-07-30,6.0,7.3870000000000005,OK,613300.0,OK,2026-07-31T01:27:14.122977+07:00,1.61,
TNG,HNX,KBS,OK,297,2026-07-30,17.6,19.724800000000002,OK,588950.0,OK,2026-07-31T01:27:18.571400+07:00,1.15,
VC3,HNX,KBS,OK,297,2026-07-30,25.8,26.828000000000003,OK,1466980.0,OK,2026-07-31T01:27:23.033560+07:00,1.16,
VC7,HNX,KBS,OK,297,2026-07-30,7.3,8.800350000000002,OK,94050.0,OK,2026-07-31T01:27:27.492003+07:00,1.16,
VFS,HNX,KBS,OK,297,2026-07-30,9.8,12.880450000000002,OK,713350.0,OK,2026-07-31T01:27:31.943313+07:00,1.15,
VHE,HNX,KBS,OK,297,2026-07-30,3.0,3.5615000000000006,OK,145440.0,OK,2026-07-31T01:27:36.432375+07:00,1.19,
VTV,HNX,KBS,OK,297,2026-07-30,13.0,14.345500000000001,OK,59140.0,OK,2026-07-31T01:27:41.297188+07:00,1.56,
VTZ,HNX,KBS,OK,297,2026-07-30,20.4,19.721500000000002,OK,1027960.0,OK,2026-07-31T01:27:45.776908+07:00,1.18,
AAA,HOSE,KBS,OK,297,2026-07-30,7.09,7.2482500000000005,OK,761990.0,OK,2026-07-31T01:27:50.250630+07:00,1.17,
ABS,HOSE,KBS,OK,297,2026-07-30,3.1,3.025550000000001,OK,566900.0,OK,2026-07-31T01:27:54.804212+07:00,1.25,
ACB,HOSE,KBS,OK,297,2026-07-30,22.35,21.18545,OK,17872710.0,OK,2026-07-31T01:27:59.689180+07:00,1.58,
ACC,HOSE,KBS,OK,290,2026-07-30,4.83,12.491700000000002,OK,756300.0,OK,2026-07-31T01:28:04.151447+07:00,1.16,
AFX,HOSE,KBS,OK,291,2026-07-30,10.1,10.77575,OK,121270.0,OK,2026-07-31T01:28:08.626540+07:00,1.17,
AGG,HOSE,KBS,OK,297,2026-07-30,11.75,13.693249999999999,OK,410080.0,OK,2026-07-31T01:28:13.068225+07:00,1.14,
AGR,HOSE,KBS,OK,297,2026-07-30,13.25,15.335999999999999,OK,452050.0,OK,2026-07-31T01:28:17.946946+07:00,1.58,
ANV,HOSE,KBS,OK,297,2026-07-30,17.6,24.902849999999997,OK,596310.0,OK,2026-07-31T01:28:22.811934+07:00,1.56,
APG,HOSE,KBS,OK,297,2026-07-30,4.66,7.9606,OK,224330.0,OK,2026-07-31T01:28:27.299244+07:00,1.19,
APH,HOSE,KBS,OK,297,2026-07-30,5.61,5.9687,OK,169710.0,OK,2026-07-31T01:28:31.776993+07:00,1.18,
ASM,HOSE,KBS,OK,297,2026-07-30,5.95,6.23035,OK,579130.0,OK,2026-07-31T01:28:36.245076+07:00,1.17,
ASP,HOSE,KBS,OK,297,2026-07-30,11.15,5.98875,OK,409960.0,OK,2026-07-31T01:28:40.727708+07:00,1.18,
BAF,HOSE,KBS,OK,297,2026-07-30,29.65,29.398399999999995,OK,1531880.0,OK,2026-07-31T01:28:45.203545+07:00,1.18,
BCE,HOSE,KBS,OK,297,2026-07-30,5.48,8.816849999999999,OK,627310.0,OK,2026-07-31T01:28:49.682424+07:00,1.18,
BCM,HOSE,KBS,OK,297,2026-07-30,36.3,58.45195,OK,615260.0,OK,2026-07-31T01:28:54.159308+07:00,1.18,
BFC,HOSE,KBS,OK,297,2026-07-30,51.0,53.27525,OK,202640.0,OK,2026-07-31T01:28:58.631490+07:00,1.17,
BID,HOSE,KBS,OK,297,2026-07-30,37.25,41.143600000000006,OK,4074260.0,OK,2026-07-31T01:29:03.106247+07:00,1.17,
BKG,HOSE,KBS,OK,297,2026-07-30,2.08,2.674,OK,341110.0,OK,2026-07-31T01:29:07.583311+07:00,1.18,
BSI,HOSE,KBS,OK,297,2026-07-30,28.0,34.2434,OK,526490.0,OK,2026-07-31T01:29:12.026000+07:00,1.14,
BSR,HOSE,KBS,OK,297,2026-07-30,25.7,23.33185,OK,8375300.0,OK,2026-07-31T01:29:16.488439+07:00,1.16,
BVB,HOSE,KBS,OK,289,2026-07-30,12.4,13.103,OK,3004310.0,OK,2026-07-31T01:29:21.354679+07:00,1.57,
BVH,HOSE,KBS,OK,297,2026-07-30,61.1,65.27205,OK,292180.0,OK,2026-07-31T01:29:25.803350+07:00,1.15,
BWE,HOSE,KBS,OK,297,2026-07-30,43.0,43.54330000000001,OK,156840.0,OK,2026-07-31T01:29:30.693569+07:00,1.59,
CDC,HOSE,KBS,OK,297,2026-07-30,18.9,17.78405,OK,125290.0,OK,2026-07-31T01:29:35.179494+07:00,1.19,
CII,HOSE,KBS,OK,297,2026-07-30,13.4,19.81825,OK,8793230.0,OK,2026-07-31T01:29:39.656010+07:00,1.18,
CMG,HOSE,KBS,OK,297,2026-07-30,24.1,31.0079,OK,207780.0,OK,2026-07-31T01:29:44.143368+07:00,1.19,
CRC,HOSE,KBS,OK,297,2026-07-30,5.83,8.4898,OK,266930.0,OK,2026-07-31T01:29:49.045232+07:00,1.6,
CRE,HOSE,KBS,OK,297,2026-07-30,7.2,8.03785,OK,138430.0,OK,2026-07-31T01:29:53.898472+07:00,1.55,
CSM,HOSE,KBS,OK,297,2026-07-30,14.6,12.93675,OK,605280.0,OK,2026-07-31T01:29:58.407275+07:00,1.21,
CSV,HOSE,KBS,OK,297,2026-07-30,21.25,27.633500000000005,OK,432480.0,OK,2026-07-31T01:30:03.278837+07:00,1.57,
CTD,HOSE,KBS,OK,297,2026-07-30,59.1,75.2648,OK,466430.0,OK,2026-07-31T01:30:07.773710+07:00,1.19,
CTF,HOSE,KBS,OK,297,2026-07-30,17.65,18.79615,OK,319210.0,OK,2026-07-31T01:30:12.642090+07:00,1.57,
CTG,HOSE,KBS,OK,297,2026-07-30,30.45,34.5742,OK,8716350.0,OK,2026-07-31T01:30:17.560432+07:00,1.62,
CTI,HOSE,KBS,OK,297,2026-07-30,19.4,22.243000000000002,OK,185510.0,OK,2026-07-31T01:30:22.423250+07:00,1.56,
CTR,HOSE,KBS,OK,297,2026-07-30,71.0,76.90145000000001,OK,260180.0,OK,2026-07-31T01:30:26.889288+07:00,1.17,
CTS,HOSE,KBS,OK,297,2026-07-30,21.6,24.842799999999997,OK,2713850.0,OK,2026-07-31T01:30:31.784802+07:00,1.59,
DBC,HOSE,KBS,OK,297,2026-07-30,16.45,21.4687,OK,2285860.0,OK,2026-07-31T01:30:36.688544+07:00,1.6,
DC4,HOSE,KBS,OK,297,2026-07-30,6.59,8.70905,OK,118160.0,OK,2026-07-31T01:30:41.562662+07:00,1.57,
DCL,HOSE,KBS,OK,297,2026-07-30,38.0,42.441,OK,561640.0,OK,2026-07-31T01:30:46.037987+07:00,1.17,
DCM,HOSE,KBS,OK,297,2026-07-30,31.25,36.00355,OK,2049680.0,OK,2026-07-31T01:30:51.004972+07:00,1.67,
DGC,HOSE,KBS,OK,297,2026-07-30,39.05,64.81945,OK,1132180.0,OK,2026-07-31T01:30:55.879427+07:00,1.57,
DGW,HOSE,KBS,OK,297,2026-07-30,36.5,41.746700000000004,OK,792180.0,OK,2026-07-31T01:31:00.363270+07:00,1.18,
DHC,HOSE,KBS,OK,297,2026-07-30,32.95,31.18515,OK,344700.0,OK,2026-07-31T01:31:05.226141+07:00,1.56,
DHM,HOSE,KBS,OK,296,2026-07-30,6.7,6.05725,OK,115790.0,OK,2026-07-31T01:31:10.123014+07:00,1.6,
DIG,HOSE,KBS,OK,297,2026-07-30,10.2,15.796750000000001,OK,11490660.0,OK,2026-07-31T01:31:14.980451+07:00,1.56,
DLG,HOSE,KBS,OK,297,2026-07-30,2.3,2.7247000000000003,OK,662540.0,OK,2026-07-31T01:31:19.854106+07:00,1.57,
DPG,HOSE,KBS,OK,297,2026-07-30,28.1,40.618900000000004,OK,373260.0,OK,2026-07-31T01:31:24.309302+07:00,1.15,
DPM,HOSE,KBS,OK,297,2026-07-30,23.45,25.174,OK,2590670.0,OK,2026-07-31T01:31:29.201963+07:00,1.59,
DRC,HOSE,KBS,OK,297,2026-07-30,10.4,13.418800000000001,OK,264680.0,OK,2026-07-31T01:31:33.657050+07:00,1.15,
DSE,HOSE,KBS,OK,297,2026-07-30,22.1,23.118399999999998,OK,534760.0,OK,2026-07-31T01:31:38.138062+07:00,1.18,
DXG,HOSE,KBS,OK,297,2026-07-30,10.6,14.04875,OK,12895940.0,OK,2026-07-31T01:31:43.011627+07:00,1.57,
DXS,HOSE,KBS,OK,297,2026-07-30,5.93,8.1272,OK,1708190.0,OK,2026-07-31T01:31:47.925451+07:00,1.61,
EIB,HOSE,KBS,OK,297,2026-07-30,17.9,21.783,OK,7534550.0,OK,2026-07-31T01:31:52.395163+07:00,1.17,
ELC,HOSE,KBS,OK,297,2026-07-30,14.9,19.553,OK,416790.0,OK,2026-07-31T01:31:56.867500+07:00,1.17,
EVF,HOSE,KBS,OK,297,2026-07-30,12.4,12.775499999999997,OK,1916370.0,OK,2026-07-31T01:32:01.321551+07:00,1.15,
EVG,HOSE,KBS,OK,297,2026-07-30,4.29,6.7075,OK,478060.0,OK,2026-07-31T01:32:05.817898+07:00,1.2,
FCN,HOSE,KBS,OK,297,2026-07-30,10.75,13.5578,OK,410080.0,OK,2026-07-31T01:32:10.690703+07:00,1.57,
FIT,HOSE,KBS,OK,297,2026-07-30,3.04,4.33475,OK,280600.0,OK,2026-07-31T01:32:15.158025+07:00,1.17,
FPT,HOSE,KBS,OK,297,2026-07-30,67.0,83.86055,OK,6456220.0,OK,2026-07-31T01:32:19.642409+07:00,1.18,
FRT,HOSE,KBS,OK,297,2026-07-30,116.3,136.6146,OK,381910.0,OK,2026-07-31T01:32:24.119479+07:00,1.18,
FTS,HOSE,KBS,OK,297,2026-07-30,21.85,26.95175,OK,1482930.0,OK,2026-07-31T01:32:28.580886+07:00,1.16,
GAS,HOSE,KBS,OK,297,2026-07-30,68.7,80.557,OK,1443810.0,OK,2026-07-31T01:32:33.056171+07:00,1.17,
GEE,HOSE,KBS,OK,297,2026-07-30,66.9,101.22675,OK,1193790.0,OK,2026-07-31T01:32:37.505638+07:00,1.15,
GEG,HOSE,KBS,OK,297,2026-07-30,12.15,14.0097,OK,221810.0,OK,2026-07-31T01:32:41.766311+07:00,0.96,
GEL,HOSE,KBS,PARTIAL,117,2026-07-30,25.35,,NOT_ENOUGH_DATA,1663470.0,OK,2026-07-31T01:32:46.492978+07:00,1.43,
GEX,HOSE,KBS,OK,297,2026-07-30,22.1,29.034399999999994,OK,13756340.0,OK,2026-07-31T01:32:51.373404+07:00,1.58,
GIL,HOSE,KBS,OK,297,2026-07-30,6.7,13.3351,OK,326990.0,OK,2026-07-31T01:32:56.245600+07:00,1.57,
GMD,HOSE,KBS,OK,297,2026-07-30,76.4,69.51299999999999,OK,1404220.0,OK,2026-07-31T01:33:00.707778+07:00,1.16,
GVR,HOSE,KBS,OK,297,2026-07-30,27.55,32.1736,OK,1463730.0,OK,2026-07-31T01:33:05.198022+07:00,1.19,
HAG,HOSE,KBS,OK,297,2026-07-30,14.2,16.237750000000002,OK,2648790.0,OK,2026-07-31T01:33:09.658068+07:00,1.16,
HAH,HOSE,KBS,OK,297,2026-07-30,45.2,54.47125,OK,476130.0,OK,2026-07-31T01:33:14.119110+07:00,1.16,
HAX,HOSE,KBS,OK,297,2026-07-30,8.46,10.375,OK,171500.0,OK,2026-07-31T01:33:18.574329+07:00,1.15,
HCM,HOSE,KBS,OK,297,2026-07-30,25.7,21.492449999999998,OK,5747860.0,OK,2026-07-31T01:33:23.405277+07:00,1.53,
