scan_date,scan_at,symbol,exchange,close_price,volume_accumulated
2026-07-31,2026-07-31T12:19:31.618146+07:00,ASP,HOSE,11900,336200
2026-07-31,2026-07-31T12:19:31.618146+07:00,BAF,HOSE,29550,573800
2026-07-31,2026-07-31T12:19:31.618146+07:00,BSR,HOSE,25850,6024300
2026-07-31,2026-07-31T12:19:31.618146+07:00,BWE,HOSE,43800,12400
2026-07-31,2026-07-31T12:19:31.618146+07:00,CDC,HOSE,18700,110700
2026-07-31,2026-07-31T12:19:31.618146+07:00,CSM,HOSE,14700,98200
2026-07-31,2026-07-31T12:19:31.618146+07:00,DHC,HOSE,32950,150300
2026-07-31,2026-07-31T12:19:31.618146+07:00,DHM,HOSE,6680,4000
2026-07-31,2026-07-31T12:19:31.618146+07:00,GEL,HOSE,25950,1288300
2026-07-31,2026-07-31T12:19:31.618146+07:00,GMD,HOSE,74800,578700
2026-07-31,2026-07-31T12:19:31.618146+07:00,HCM,HOSE,25200,1609600
2026-07-31,2026-07-31T12:19:31.618146+07:00,HHP,HOSE,15200,155500
2026-07-31,2026-07-31T12:19:31.618146+07:00,HII,HOSE,7090,224500
2026-07-31,2026-07-31T12:19:31.618146+07:00,LPB,HOSE,53300,1060500
2026-07-31,2026-07-31T12:19:31.618146+07:00,MSB,HOSE,15850,2270500
2026-07-31,2026-07-31T12:19:31.618146+07:00,MZG,HOSE,11750,67400
2026-07-31,2026-07-31T12:19:31.618146+07:00,NAB,HOSE,12200,1166000
2026-07-31,2026-07-31T12:19:31.618146+07:00,NAF,HOSE,48150,230600
2026-07-31,2026-07-31T12:19:31.618146+07:00,ORS,HOSE,13950,2167100
2026-07-31,2026-07-31T12:19:31.618146+07:00,PET,HOSE,37900,71300
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVP,HOSE,17300,245100
2026-07-31,2026-07-31T12:19:31.618146+07:00,SAB,HOSE,43800,339500
2026-07-31,2026-07-31T12:19:31.618146+07:00,STB,HOSE,72000,1133200
2026-07-31,2026-07-31T12:19:31.618146+07:00,TCX,HOSE,40300,557700
2026-07-31,2026-07-31T12:19:31.618146+07:00,TNI,HOSE,6780,1361100
2026-07-31,2026-07-31T12:19:31.618146+07:00,VCK,HOSE,30800,769700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VHM,HOSE,146900,2981600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VIC,HOSE,219600,2030700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VNM,HOSE,60500,1827700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VPI,HOSE,64000,1289200
2026-07-31,2026-07-31T12:19:31.618146+07:00,VPX,HOSE,25150,374700
2026-07-31,2026-07-31T12:19:31.618146+07:00,VVS,HOSE,102800,97100
2026-07-31,2026-07-31T12:19:31.618146+07:00,ABB,UPCOM,17300,1573500
2026-07-31,2026-07-31T12:19:31.618146+07:00,ABW,UPCOM,14000,49600
2026-07-31,2026-07-31T12:19:31.618146+07:00,BMS,UPCOM,13200,71700
2026-07-31,2026-07-31T12:19:31.618146+07:00,CLI,UPCOM,27400,325800
2026-07-31,2026-07-31T12:19:31.618146+07:00,CVN,UPCOM,1500,518600
2026-07-31,2026-07-31T12:19:31.618146+07:00,DDG,UPCOM,900,186800
2026-07-31,2026-07-31T12:19:31.618146+07:00,DHB,UPCOM,13300,73200
2026-07-31,2026-07-31T12:19:31.618146+07:00,F88,UPCOM,71900,76500
2026-07-31,2026-07-31T12:19:31.618146+07:00,HNG,UPCOM,6800,1648900
2026-07-31,2026-07-31T12:19:31.618146+07:00,MSR,UPCOM,36400,270400
2026-07-31,2026-07-31T12:19:31.618146+07:00,PHP,UPCOM,37300,94000
2026-07-31,2026-07-31T12:19:31.618146+07:00,PIV,UPCOM,6400,73800
2026-07-31,2026-07-31T12:19:31.618146+07:00,TAH,UPCOM,24000,60600
2026-07-31,2026-07-31T12:19:31.618146+07:00,VIW,UPCOM,24300,57400
