scan_date,scan_at,symbol,exchange,close_price,previous_close_price,price_change_30m_pct,volume_accumulated,previous_volume_accumulated,avg_volume_10,expected_volume_at_time,rvol_time,ma200_vnd,distance_to_ma200_pct,below_ma200,price_surge_30m,volume_surge,strong_setup,has_any_signal,signal_name,is_baseline_snapshot,session_elapsed_minutes,session_progress,ma200_status,avg_volume_10_status,previous_scan_at,time,reference_price,open_price,high_price,low_price,average_price,total_value,price_change,percent_change,ceiling_price,floor_price,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,foreign_buy_volume,foreign_sell_volume,foreign_room,latest_date,latest_close,ma200,latest_close_vnd
2026-07-31,2026-07-31T12:19:31.618146+07:00,LAS,HNX,11600,11600,0.0,58600,58600,207600.0,115333.33333333334,0.5080924855491329,16088.000000000002,-27.89656887120836,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472039282,11700,11800,11800,11600,11680,684420000,-100,-0.8547008547008548,12800,10600,11600.0,8400,11500,56900,11400,23000,11700.0,6300,11800,158500,11900,75300,0,800,55260346,2026-07-30,11.7,16.088,11700.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,MBG,HNX,2400,2400,0.0,16200,16200,205370.0,114094.44444444445,0.14198763207868723,3011.0,-20.29226170707406,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471592138,2400,2400,2400,2400,2400,38880000,0,0.0,2600,2200,2300.0,203400,2200,108900,0,0,2400.0,68200,2500,296800,2600,296700,0,0,57090278,2026-07-30,2.4,3.011,2400.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,MBS,HNX,18100,18100,0.0,2683600,2683600,7530340.0,4183522.2222222225,0.6414690438944324,21211.350000000002,-14.668326155572379,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472199502,18400,18400,19000,18100,18294,49093590000,-300,-1.6304347826086956,20200,16600,18100.0,92200,18000,620700,17900,246200,18200.0,86700,18300,150800,18400,108000,38800,249600,487009347,2026-07-30,18.4,21.211350000000003,18400.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,NDN,HNX,9100,9100,0.0,20800,20800,153310.0,85172.22222222222,0.24421107559846064,11026.5,-17.47154582143019,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785470822389,9100,9200,9200,9100,9125,189810000,0,0.0,10000,8200,9000.0,19800,8900,27000,8800,7500,9100.0,6800,9200,17100,9300,15800,0,0,35031303,2026-07-30,9.1,11.0265,9100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,NRC,HNX,4600,4600,0.0,308900,308900,3014030.0,1674461.1111111112,0.184477261341128,6068.0,-24.192485168094922,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472199803,4600,4700,4700,4500,4597,1419940000,0,0.0,5000,4200,4500.0,184800,4400,116900,4300,198800,4600.0,70000,4700,87200,4800,116500,0,0,46167587,2026-07-30,4.6,6.068,4600.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,NTP,HNX,48300,48300,0.0,29400,29400,73880.0,41044.444444444445,0.7162966973470493,50042.15,-3.4813652091287075,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475172682,48400,48500,48500,47000,47923,1408940000,-100,-0.2066115702479339,53200,43600,48300.0,18600,48000,400,47900,1500,48400.0,2500,48500,4100,48600,3000,1900,9060,69274114,2026-07-30,48.4,50.04215,48400.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,NVB,HNX,11500,11500,0.0,237000,237000,420240.0,233466.6666666667,1.015134209023415,12634.0,-8.975779642235238,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472182395,11600,11700,11700,11400,11513,2728470000,-100,-0.8620689655172413,12700,10500,11400.0,38900,11300,28500,11200,35700,11500.0,11000,11600,22000,11700,16500,0,23900,251009543,2026-07-30,11.6,12.634,11600.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,PLC,HNX,19600,19600,0.0,55700,55700,122950.0,68305.55555555556,0.8154534363562423,24965.5,-21.491658488714428,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471893724,19300,19300,20200,19300,19771,1101240000,300,1.5544041450777202,21200,17400,19400.0,800,19300,8900,19200,1000,19600.0,1100,19700,1200,19800,7600,1600,600,39431499,2026-07-30,19.3,24.9655,19300.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVC,HNX,12200,12200,0.0,306900,306900,424250.0,235694.44444444447,1.3021096051856216,13750.0,-11.272727272727273,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472146683,12100,12200,12600,12200,12348,3789450000,100,0.8264462809917356,13300,10900,12100.0,17900,12000,17500,11900,3800,12200.0,16400,12300,15300,12400,64400,0,0,-135895,2026-07-30,12.1,13.75,12100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,PVS,HNX,34400,34400,0.0,1303800,1303800,3408240.0,1893466.6666666667,0.6885782691359763,37514.55000000001,-8.302245395453255,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472199188,34800,34900,35100,34300,34542,45036370000,-400,-1.1494252873563218,38200,31400,34400.0,105300,34300,90500,34200,60700,34500.0,5400,34600,17100,34700,19300,241000,263200,170237108,2026-07-30,34.8,37.51455000000001,34800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,SHS,HNX,15300,15300,0.0,5063400,5063400,13358520.0,7421400.0,0.6822701916080524,19242.000000000004,-20.486435921421904,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472197389,15600,15700,15900,15300,15521,78589620000,-300,-1.9230769230769231,17100,14100,15300.0,161600,15200,682300,15100,531600,15400.0,351000,15500,191600,15600,326000,5000,560800,359717038,2026-07-30,15.6,19.242000000000004,15600.0
