symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
DAT,HOSE,CTCP Đầu tư du lịch và Phát triển Thủy sản,CTCP Đầu tư du lịch và Phát triển Thủy sản,Travel Investment And Seafood Development Corporation,CTCP Đầu tư du lịch và Phát triển Thủy sản - TRISEDCO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DAT/tai-chinh.htm?tab=BCTT,OK,NO,
DBD,HOSE,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),Binh Dinh Pharmaceutical and Medical Equipment JSC,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar) - BIDIPHAR - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DBD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DBD/tai-chinh.htm?tab=BCTT,OK,NO,
DCF,UPCOM,CTCP Xây dựng và Thiết kế Số 1,CTCP Xây dựng và Thiết kế Số 1,Design And Construction Joint Stock Company No.1,CTCP Xây dựng và Thiết kế Số 1 - DECOFI - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DCF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DCF/tai-chinh.htm?tab=BCTT,OK,NO,
DCS,UPCOM,CTCP Tập đoàn Đại Châu,CTCP Tập đoàn Đại Châu,Dai Chau Group JSC,CTCP Tập đoàn EDX - Tập đoàn EDX - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Nguyên vật liệu,Gỗ và giấy,,Gỗ & Giấy,NORMAL,24,go va giay,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DCS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DCS/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
DCT,UPCOM,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,Dong Nai Roofsheet And Construction Material JSC,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai - DONAC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DCT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DCT/tai-chinh.htm?tab=BCTT,OK,NO,
DFF,UPCOM,CTCP Tập đoàn Đua Fat,CTCP Tập đoàn Đua Fat,Dua Fat Group JSC,"CTCP Tập đoàn Đua Fat - ĐUA FAT GROUP.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DFF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DFF/tai-chinh.htm?tab=BCTT,OK,NO,
DGT,UPCOM,CTCP Công trình Giao thông Đồng Nai,CTCP Công trình Giao thông Đồng Nai,DONA Transportation Construction Joint Stock Company,CTCP Công trình Giao thông Đồng Nai - DOTRANCO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DGT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DGT/tai-chinh.htm?tab=BCTT,OK,NO,
DHD,UPCOM,CTCP Dược Vật tư Y tế Hải Dương,CTCP Dược Vật tư Y tế Hải Dương,Hai Duong Pharmaceutical Medical Material JSC,CTCP Dược Vật tư Y tế Hải Dương - HD Pharma - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DHD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DHD/tai-chinh.htm?tab=BCTT,OK,NO,
DHG,HOSE,CTCP Dược Hậu Giang,CTCP Dược Hậu Giang,DHG Pharmaceutical Joint Stock Company,CTCP Dược Hậu Giang - DHG Pharma - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DHG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DHG/tai-chinh.htm?tab=BCTT,OK,NO,
DHT,HNX,CTCP Dược phẩm Hà Tây,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,CTCP Dược phẩm Hà Tây - HATAPHAR - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DHT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DHT/tai-chinh.htm?tab=BCTT,OK,NO,
DIC,UPCOM,CTCP Đầu tư và Thương mại DIC,CTCP Đầu tư và Thương mại DIC,DIC Investment & Trading Joint Stock Company,CTCP Đầu tư và Thương mại DIC - DIC-INTRACO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DIC/tai-chinh.htm?tab=BCTT,OK,NO,
DL1,HNX,CTCP Tập đoàn Alpha Seven,CTCP Tập đoàn Alpha Seven,Alpha Seven Group JSC,CTCP Tập đoàn Alpha Seven - ALPHA 7 GROUP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DL1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DL1/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DMC,HOSE,CTCP Xuất nhập khẩu Y Tế Domesco,CTCP Xuất nhập khẩu Y Tế Domesco,Domesco Medical Import Export Joint Stock Corporation,CTCP Xuất nhập khẩu Y Tế DOMESCO - DOMESCO - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DMC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DMC/tai-chinh.htm?tab=BCTT,OK,NO,
DNA,UPCOM,CTCP Điện Nước An Giang,CTCP Điện Nước An Giang,An Giang Power And Water Supply Joint Stock Company,CTCP Điện Nước An Giang - POWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi - EVNHPC DHD - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNN,UPCOM,CTCP Cấp nước Đà Nẵng,CTCP Cấp nước Đà Nẵng,Da Nang Water Supply Joint Stock Company,CTCP Cấp nước Đà Nẵng - DAWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNP,HNX,CTCP DNP Holding,CTCP DNP Holding,DNP Holding Joint Stock Company,CTCP DNP Holding - DNP HOLDING - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DNP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNP/tai-chinh.htm?tab=BCTT,OK,NO,
DNW,UPCOM,CTCP Cấp nước Đồng Nai,CTCP Cấp nước Đồng Nai,Dong Nai Water Joint Stock Company,CTCP Cấp nước Đồng Nai - DOWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DP1,UPCOM,CTCP Dược phẩm Trung ương CPC1,CTCP Dược phẩm Trung ương CPC1,Central Pharmaceutical Company No.1 JSC,CTCP Dược phẩm Trung ương CPC1 - CPC1 - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thương mại và dịch vụ chăm sóc sức khỏe,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thương mại và dịch vụ chăm sóc sức khỏe,Dược & Y tế,NORMAL,19,cham soc suc khoe,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DP1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DP1/tai-chinh.htm?tab=BCTT,OK,NO,
DP3,HNX,CTCP Dược phẩm Trung ương 3,CTCP Dược phẩm Trung ương 3,Central Phamaceutical Joint Stock Company No3,CTCP Dược phẩm Trung ương 3 - FORIPHARM - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DP3/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DP3/tai-chinh.htm?tab=BCTT,OK,NO,
DPR,HOSE,CTCP Cao su Đồng Phú,CTCP Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company,CTCP Cao su Đồng Phú - DORUCO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DPR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DPR/tai-chinh.htm?tab=BCTT,OK,NO,
DPS,UPCOM,CTCP Đầu tư Phát triển Sóc Sơn,CTCP Đầu tư Phát triển Sóc Sơn,Soc Son Development Investment Joint Stock Company,"CTCP Đầu tư Phát triển Sóc Sơn - Soc Son Invest., JSC - Hồ sơ doanh nghiệp",MATCH,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Hàng không,NORMAL,17,hang khong,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DPS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DPS/tai-chinh.htm?tab=BCTT,OK,NO,
DQC,HOSE,CTCP Tập đoàn Điện Quang,CTCP Tập đoàn Điện Quang,Dien Quang Group Joint Stock Company,CTCP Tập đoàn Điện Quang - - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DQC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DQC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DRH,HOSE,CTCP DRH Holdings,CTCP DRH Holdings,DRH Holdings JSC,CTCP DRH Holdings - DRH HOLDINGS - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DRH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DRH/tai-chinh.htm?tab=BCTT,OK,NO,
DSC,HOSE,CTCP Chứng khoán DSC,CTCP Chứng khoán DSC,DSC Securities Corporation,CTCP Chứng khoán DSC - DSC SECURITIES - Hồ sơ doanh nghiệp,MATCH,Tài chính,Dịch vụ tài chính,Thị trường vốn,Tài chính,Dịch vụ tài chính,Thị trường vốn,Chứng khoán,SECURITIES,2,thi truong von,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSC/tai-chinh.htm?tab=BCTT,OK,NO,
DSD,UPCOM,CTCP DHC Suối Đôi,CTCP DHC Suối Đôi,DHC Suoi Doi Corporation,CTCP DHC Suối Đôi - DHC Suoi Doi Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DSD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSD/tai-chinh.htm?tab=BCTT,OK,NO,
DSG,UPCOM,CTCP Kính Đáp Cầu,CTCP Kính Đáp Cầu,Dap Cau Sheet Glass JSC,"CTCP Kính Đáp Cầu - Dap Cau Glass Co.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Xây dựng,NORMAL,15,xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DSG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSG/tai-chinh.htm?tab=BCTT,OK,NO,
DSP,UPCOM,CTCP Dịch vụ Du lịch Phú Thọ,CTCP Dịch vụ Du lịch Phú Thọ,Phu Tho Tourist Service JSC,CTCP Dịch vụ Du lịch Phú Thọ - PHUTHOTOURIST - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DSP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSP/tai-chinh.htm?tab=BCTT,OK,NO,
DTE,UPCOM,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Dai Truong Thanh Holdings Energy Investment JSC,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings - DTT Holdings - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTE/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,Tổng Công ty Điện lực TKV - CTCP - Tổng công ty Điện lực - TKV - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTK/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DTL,HOSE,CTCP Đại Thiên Lộc,CTCP Đại Thiên Lộc,Dai Thien Loc Corporation,CTCP Đại Thiên Lộc - DTLS - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DTL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTL/tai-chinh.htm?tab=BCTT,OK,NO,
DTP,UPCOM,CTCP Dược phẩm CPC1 Hà Nội,CTCP Dược phẩm CPC1 Hà Nội,Ha Noi CPC1 Pharmaceutical Joint Stock Company,"CTCP Dược phẩm CPC1 Hà Nội - CPC1 HN.,JSC - Hồ sơ doanh nghiệp",MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DTP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTP/tai-chinh.htm?tab=BCTT,OK,NO,
DVG,UPCOM,CTCP Đại Việt Group DVG,CTCP Đại Việt Group DVG,Dai Viet DVG Group Joint Stock Company,"CTCP Đại Việt Group DVG - DVG.,JSC - Hồ sơ doanh nghiệp",MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DVG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVG/tai-chinh.htm?tab=BCTT,OK,NO,
DVM,HNX,CTCP Dược liệu Việt Nam,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,CTCP Dược liệu Việt Nam - VIETMEC - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DVM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVM/tai-chinh.htm?tab=BCTT,OK,NO,
DVN,UPCOM,Tổng Công ty Dược Việt Nam - CTCP,Tổng Công ty Dược Việt Nam - CTCP,Vietnam Pharmaceutical Corporation - JSC,Tổng Công ty Dược Việt Nam - CTCP - VINAPHARM - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DVN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVN/tai-chinh.htm?tab=BCTT,OK,NO,
DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment and Development JSC,CTCP Đầu tư và Phát triển Cảng Đình Vũ - CTCP Cảng Đình Vũ - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DVP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DWS,UPCOM,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Dong Thap Water Supply & Urban Environment Joint Stock Company,CTCP Cấp nước và Môi trường đô thị Đồng Tháp - DOWASEN - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DWS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DWS/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
EIC,UPCOM,CTCP EVN Quốc tế,CTCP EVN Quốc tế,EVN International Joint Stock Company,CTCP EVN Quốc tế - EVNI - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,Dịch vụ công nghiệp,NORMAL,34,dich vu chuyen nghiep,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/EIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EIC/tai-chinh.htm?tab=BCTT,OK,NO,
EIN,UPCOM,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Electricity Investment - Service - Trade Joint Stock Company,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực - ECINVEST - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/EIN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EIN/tai-chinh.htm?tab=BCTT,OK,NO,
EMS,UPCOM,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,VNPost Express Joint Stock Company,"Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP - VNPost Express.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Cảng & Logistics,NORMAL,14,logistics,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/EMS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EMS/tai-chinh.htm?tab=BCTT,OK,NO,
EVE,HOSE,CTCP Everpia,CTCP Everpia,Everpia JSC,CTCP Everpia - EVERPIA - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/EVE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EVE/tai-chinh.htm?tab=BCTT,OK,NO,
FCM,HOSE,CTCP Bê tông Phan Vũ Hà Nam,CTCP Bê tông Phan Vũ Hà Nam,Phan Vu Ha Nam Concrete Joint Stock Company,CTCP Bê tông Phan Vũ Hà Nam - Phan Vu Ha Nam - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/FCM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FCM/tai-chinh.htm?tab=BCTT,OK,NO,
FCS,UPCOM,CTCP Lương thực Thành phố Hồ Chí Minh,CTCP Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food JSC,CTCP Lương thực Thành phố Hồ Chí Minh - FOODCOSA - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Thực phẩm & đồ uống,NORMAL,18,thuc pham,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/FCS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FCS/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
