symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
NNC,HOSE,CTCP Đá Núi Nhỏ,CTCP Đá Núi Nhỏ,Nui Nho Stone JSC,CTCP Đá Núi Nhỏ - NNC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/NNC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NNC/tai-chinh.htm?tab=BCTT,OK,NO,
NO1,HOSE,CTCP Tập đoàn 911,CTCP Tập đoàn 911,911 Group Joint Stock Company,CTCP Tập đoàn 911 - 911 GROUP .JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/NO1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NO1/tai-chinh.htm?tab=BCTT,OK,NO,
NQN,UPCOM,CTCP Nước sạch Quảng Ninh,CTCP Nước sạch Quảng Ninh,Quang Ninh Clean Water JSC,CTCP Nước sạch Quảng Ninh - QUAWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NQN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NQN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
NS2,UPCOM,CTCP Nước sạch Số 2 Hà Nội,CTCP Nước sạch Số 2 Hà Nội,Ha Noi Water Supply Number 2 JSC,CTCP Nước sạch Số 2 Hà Nội - Công ty Nước sạch Số 2 Hà Nội - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NS2/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NS2/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
NTB,UPCOM,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Transport Engineering Construction & Business Investment JSC 584,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584 - TECBIS 584 JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Bất động sản,Quản lý và phát triển bất động sản,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/NTB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NTB/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
NTC,UPCOM,CTCP Khu Công nghiệp Nam Tân Uyên,CTCP Khu Công nghiệp Nam Tân Uyên,Nam Tan Uyen Joint Stock Company,CTCP Khu Công nghiệp Nam Tân Uyên - NTC - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NTC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NTC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
NTT,UPCOM,CTCP Dệt - May Nha Trang,CTCP Dệt - May Nha Trang,Nha Trang Textile Garment Joint Stock Company,CTCP Dệt - May Nha Trang - NHATEXCO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/NTT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NTT/tai-chinh.htm?tab=BCTT,OK,NO,
NVT,HOSE,CTCP Bất động sản Du lịch Ninh Vân Bay,CTCP Bất động sản Du lịch Ninh Vân Bay,Ninh Van Bay Travel Real Estate JSC,"CTCP Bất động sản Du lịch Ninh Vân Bay - Ninh Van Bay.,JSC - Hồ sơ doanh nghiệp",MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/NVT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NVT/tai-chinh.htm?tab=BCTT,OK,NO,
OCH,HNX,CTCP One Capital Hospitality,CTCP One Capital Hospitality,One Capital Hospitality Joint Stock Company,CTCP One Capital Hospitality - OCH.JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/OCH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/OCH/tai-chinh.htm?tab=BCTT,OK,NO,
OPC,HOSE,CTCP Dược phẩm OPC,CTCP Dược phẩm OPC,OPC Pharmaceutical Joint Stock Company,CTCP Dược phẩm OPC - OPC - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/OPC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/OPC/tai-chinh.htm?tab=BCTT,OK,NO,
