symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
SGR,HOSE,CTCP Tổng CTCP Địa ốc Sài Gòn,Tổng CTCP Địa ốc Sài Gòn,Saigon Real Estate Group Joint Stock Company,Bất động sản,Bất động sản,Dịch vụ bất động sản,Bất động sản,Dịch vụ bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SGR/ho-so-doanh-nghiep.htm,OK,YES
SHP,HOSE,CTCP Thủy điện Miền Nam,Thủy điện Miền Nam,Southern Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SHP/ho-so-doanh-nghiep.htm,OK,YES
SID,UPCOM,CTCP Đầu tư Phát triển Sài Gòn Co.op,Đầu tư Phát triển Sài Gòn Co.op,Saigon Co.op Investment Development Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SID/ho-so-doanh-nghiep.htm,OK,YES
SII,UPCOM,CTCP Hạ tầng Nước Sài Gòn,Hạ tầng Nước Sài Gòn,Sai Gon Water Infrastructure Corporation,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SII/ho-so-doanh-nghiep.htm,OK,YES
SIP,HOSE,CTCP Đầu tư Sài Gòn VRG,Đầu tư Sài Gòn VRG,Sai Gon VRG Investment Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SIP/ho-so-doanh-nghiep.htm,OK,YES
SJD,HOSE,CTCP Thủy điện Cần Đơn,Thủy điện Cần Đơn,Candon HydroPower Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SJD/ho-so-doanh-nghiep.htm,OK,YES
SJS,HOSE,CTCP SJ Group,SJ Group,SJ Group Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SJS/ho-so-doanh-nghiep.htm,OK,YES
SLD,UPCOM,CTCP Địa ốc Sacom,Địa ốc Sacom,Sacom Land Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SLD/ho-so-doanh-nghiep.htm,OK,YES
SNZ,UPCOM,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Phát triển Khu Công nghiệp,Sonadezi Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SNZ/ho-so-doanh-nghiep.htm,OK,YES
SP2,UPCOM,CTCP Thủy điện Sử Pán 2,Thủy điện Sử Pán 2,Su Pan 2 Hydroprwer JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SP2/ho-so-doanh-nghiep.htm,OK,YES
SRC,HOSE,CTCP Cao su Sao Vàng,Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company,Tiêu dùng không thiết yếu,Xe và linh kiện,Linh kiện xe,Tiêu dùng không thiết yếu,Xe và linh kiện,Linh kiện xe,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SRC/ho-so-doanh-nghiep.htm,OK,YES
SSH,UPCOM,CTCP Phát triển Sunshine Homes,Phát triển Sunshine Homes,Sunshine Homes Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SSH/ho-so-doanh-nghiep.htm,OK,YES
SSN,UPCOM,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,Xuất nhập khẩu Thủy sản Sài Gòn,Saigon SeaProducts Import - Export JSC,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Bất động sản đa dạng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SSN/ho-so-doanh-nghiep.htm,OK,YES
STG,HOSE,CTCP Kho vận Miền Nam,Kho vận Miền Nam,South Logistics Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/STG/ho-so-doanh-nghiep.htm,OK,YES
SZB,HNX,CTCP Sonadezi Long Bình,Sonadezi Long Bình,Sonadezi Long Binh Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZB/ho-so-doanh-nghiep.htm,OK,YES
SZE,UPCOM,CTCP Môi trường Sonadezi,Môi trường Sonadezi,Sonadezi Environment Joint Stock Company,Tiện ích,Tiện ích,Tiện tích tổng hợp,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZE/ho-so-doanh-nghiep.htm,OK,YES
SZG,UPCOM,CTCP Sonadezi Giang Điền,Sonadezi Giang Điền,Sonadezi Giang Dien Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZG/ho-so-doanh-nghiep.htm,OK,YES
SZL,HOSE,CTCP Sonadezi Long Thành,Sonadezi Long Thành,Sonadezi Long Thanh Shareholding Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SZL/ho-so-doanh-nghiep.htm,OK,YES
TBC,HOSE,CTCP Thủy điện Thác Bà,Thủy điện Thác Bà,Thac Ba Hydro Power Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBC/ho-so-doanh-nghiep.htm,OK,YES
TBD,UPCOM,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Thiết bị Điện Đông Anh - CTCP,Dong Anh Electrical Equiment Corporation - Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBD/ho-so-doanh-nghiep.htm,OK,YES
TBH,UPCOM,CTCP Tổng Bách Hóa,Tổng Bách Hóa,General Department Store Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TBH/ho-so-doanh-nghiep.htm,OK,YES
TCL,HOSE,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics & Stevedoring Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TCL/ho-so-doanh-nghiep.htm,OK,YES
TDG,HOSE,CTCP Đầu tư TDG Global,Đầu tư TDG Global,TDG Global Investment Joint Stock Company,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDG/ho-so-doanh-nghiep.htm,OK,YES
TDH,HOSE,CTCP Phát triển Nhà Thủ Đức,Phát triển Nhà Thủ Đức,Thu Duc Housing Development Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDH/ho-so-doanh-nghiep.htm,OK,YES
TDM,HOSE,CTCP Nước Thủ Dầu Một,Nước Thủ Dầu Một,Thu Dau Mot Water Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TDM/ho-so-doanh-nghiep.htm,OK,YES
TGG,UPCOM,CTCP The Golden Group,The Golden Group,The Golden Group Joint Stock Company,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TGG/ho-so-doanh-nghiep.htm,OK,YES
THN,UPCOM,CTCP Cấp nước Thanh Hóa,Cấp nước Thanh Hóa,Thanh Hoa Water Supply JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/THN/ho-so-doanh-nghiep.htm,OK,YES
TIP,HOSE,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,Phát triển Khu Công nghiệp Tín Nghĩa,Tin Nghia Industrial Park Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TIP/ho-so-doanh-nghiep.htm,OK,YES
TIX,HOSE,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Tan Binh Import Export Joint Stock Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TIX/ho-so-doanh-nghiep.htm,OK,YES
TLG,HOSE,CTCP Tập đoàn Thiên Long,Thiên Long,Thien Long Group Corporation,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TLG/ho-so-doanh-nghiep.htm,OK,YES
TMP,HOSE,CTCP Thủy điện Thác Mơ,Thủy điện Thác Mơ,Thac Mo Hydro Power Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TMP/ho-so-doanh-nghiep.htm,OK,YES
TMS,HOSE,CTCP Transimex,Transimex,Transimex Corporation,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TMS/ho-so-doanh-nghiep.htm,OK,YES
TMT,HOSE,CTCP Ô tô TMT,Ô tô TMT,TMT Motors Corporation,Tiêu dùng không thiết yếu,Xe và linh kiện,Xe,Tiêu dùng không thiết yếu,Xe và linh kiện,Xe,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TMT/ho-so-doanh-nghiep.htm,OK,YES
TN1,HOSE,CTCP Rox Key Holdings,Rox Key Holdings,Rox Key Holdings Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TN1/ho-so-doanh-nghiep.htm,OK,YES
TRV,UPCOM,CTCP Vận tải Đường sắt,Vận tải Đường sắt,Railway Transport Joint Stock Company,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TRV/ho-so-doanh-nghiep.htm,OK,YES
TTA,HOSE,CTCP Đầu tư Xây dựng và Phát triển Trường Thành,Đầu tư Xây dựng và Phát triển Trường Thành,Truong Thanh Development and Constrution Investment Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TTA/ho-so-doanh-nghiep.htm,OK,YES
TTB,UPCOM,CTCP TTBGroup,TTBGroup,TTBGroup Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TTB/ho-so-doanh-nghiep.htm,OK,YES
TTE,HOSE,CTCP Đầu tư Năng lượng Trường Thịnh,Đầu tư Năng lượng Trường Thịnh,Truong Thinh Energy Investment Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/TTE/ho-so-doanh-nghiep.htm,OK,YES
UNI,HNX,CTCP Đầu Tư Và Phát Triển Sao Mai Việt,Đầu Tư Và Phát Triển Sao Mai Việt,Sao Mai Viet Investment And Development Joint Stock Company,Bất động sản,Bất động sản,Dịch vụ bất động sản,Bất động sản,Dịch vụ bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/UNI/ho-so-doanh-nghiep.htm,OK,YES
VAV,UPCOM,CTCP VIWACO,VIWACO,VIWACO Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VAV/ho-so-doanh-nghiep.htm,OK,YES
VCP,UPCOM,CTCP Xây Dựng Và Năng Lượng VCP,Xây Dựng Và Năng Lượng VCP,VCP Power & Construction Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VCP/ho-so-doanh-nghiep.htm,OK,YES
VCR,UPCOM,CTCP Đầu tư và Phát triển Du lịch Vinaconex,Đầu tư và Phát triển Du lịch Vinaconex,Vinaconex Investment And Tourism Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VCR/ho-so-doanh-nghiep.htm,OK,YES
VCW,UPCOM,CTCP Đầu tư Nước sạch Sông Đà,Đầu tư Nước sạch Sông Đà,Song Da Water Investment JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VCW/ho-so-doanh-nghiep.htm,OK,YES
VEF,UPCOM,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,Trung tâm Hội chợ Triển lãm Việt Nam,Vietnam Exhibition Fair Centre Joint Stock Company,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VEF/ho-so-doanh-nghiep.htm,OK,YES
VGR,UPCOM,CTCP Cảng Xanh Vip,Cảng Xanh Vip,Vip Greenport Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VGR/ho-so-doanh-nghiep.htm,OK,YES
VHD,UPCOM,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD,Đầu tư Phát triển Nhà và Đô Thị VINAHUD,VINAHUD Urban And Housing Development Invesment Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VHD/ho-so-doanh-nghiep.htm,OK,YES
VHF,UPCOM,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà,Xây dựng và Chế biến Lương thực Vĩnh Hà,Vinh Ha Food Processing and Construction JSC,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VHF/ho-so-doanh-nghiep.htm,OK,YES
VIN,UPCOM,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam,Giao nhận Kho vận Ngoại Thương Việt Nam,Vinatrans International Freight Forwarders JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VIN/ho-so-doanh-nghiep.htm,OK,YES
VLW,UPCOM,CTCP Cấp nước Vĩnh Long,Cấp nước Vĩnh Long,Vinh Long Water Supply Joint Stock Company Limited,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VLW/ho-so-doanh-nghiep.htm,OK,YES
VNS,HOSE,CTCP Ánh Dương Việt Nam,Ánh Dương Việt Nam,VietNam Sun Copporation,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VNS/ho-so-doanh-nghiep.htm,OK,YES
VPD,HOSE,CTCP Phát triển Điện lực Việt Nam,Phát triển Điện lực Việt Nam,Vietnam Power Development Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VPD/ho-so-doanh-nghiep.htm,OK,YES
VPH,HOSE,CTCP Vạn Phát Hưng,Vạn Phát Hưng,Van Phat Hung Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VPH/ho-so-doanh-nghiep.htm,OK,YES
VRC,HOSE,CTCP Bất động sản và Đầu tư VRC,Bất động sản và Đầu tư VRC,VRC Real Estate and Investment JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VRC/ho-so-doanh-nghiep.htm,OK,YES
VRG,UPCOM,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam,Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam,Viet Nam Rubber Industrial Zone and Urban Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VRG/ho-so-doanh-nghiep.htm,OK,YES
VSH,HOSE,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VSH/ho-so-doanh-nghiep.htm,OK,YES
VTX,UPCOM,CTCP Vận tải Đa Phương Thức Vietranstimex,Vận tải Đa Phương Thức Vietranstimex,Vietranstimex MultiModal Transport Holding Company,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/VTX/ho-so-doanh-nghiep.htm,OK,YES
XDH,UPCOM,CTCP Đầu tư Xây dựng Dân dụng Hà Nội,Đầu tư Xây dựng Dân dụng Hà Nội,Ha Noi Civil Construction Investment JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/XDH/ho-so-doanh-nghiep.htm,OK,YES
