symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
HDW,UPCOM,CTCP Kinh doanh Nước sạch Hải Dương,Kinh doanh Nước sạch Hải Dương,Hai Duong Water Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HDW/ho-so-doanh-nghiep.htm,OK,YES
HHG,UPCOM,CTCP Hoàng Hà,Hoàng Hà,Hoang Ha Joint Stock Company,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HHG/ho-so-doanh-nghiep.htm,OK,YES
HIO,UPCOM,CTCP Helio Energy,Helio Energy,Helio Energy Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HIO/ho-so-doanh-nghiep.htm,OK,YES
HJS,HNX,CTCP Thủy điện Nậm Mu,Thủy điện Nậm Mu,Nam Mu Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HJS/ho-so-doanh-nghiep.htm,OK,YES
HLD,HNX,CTCP Đầu tư và Phát triển Bất động sản Hudland,Đầu tư và Phát triển Bất động sản Hudland,Hudland Real Estate Investmnet and Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HLD/ho-so-doanh-nghiep.htm,OK,YES
HNA,HOSE,CTCP Thủy điện Hủa Na,Thủy điện Hủa Na,Hua Na Hydropower Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HNA/ho-so-doanh-nghiep.htm,OK,YES
HND,UPCOM,CTCP Nhiệt điện Hải Phòng,Nhiệt điện Hải Phòng,Hai Phong Thermal Power Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HND/ho-so-doanh-nghiep.htm,OK,YES
HPI,UPCOM,CTCP Khu công nghiệp Hiệp Phước,Khu công nghiệp Hiệp Phước,Hiep Phuoc Industrial Park Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HPI/ho-so-doanh-nghiep.htm,OK,YES
HPW,UPCOM,CTCP Cấp nước Hải Phòng,Cấp nước Hải Phòng,Hai Phong Water JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HPW/ho-so-doanh-nghiep.htm,OK,YES
HTE,UPCOM,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Ho Chi Minh City Electric Power Trading Investment Corporation,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/HTE/ho-so-doanh-nghiep.htm,OK,YES
HTI,HOSE,CTCP Đầu tư Phát triển Hạ tầng IDICO,Đầu tư Phát triển Hạ tầng IDICO,IDICO Infrastructure Development Investment Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HTI/ho-so-doanh-nghiep.htm,OK,YES
HTP,UPCOM,CTCP In Sách Giáo khoa Hòa Phát,In Sách Giáo khoa Hòa Phát,HTINVEST JSC,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HTP/ho-so-doanh-nghiep.htm,OK,YES
HWS,UPCOM,CTCP Cấp nước Huế,Cấp nước Huế,Hue Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HWS/ho-so-doanh-nghiep.htm,OK,YES
IDV,HNX,CTCP Phát triển Hạ tầng Vĩnh Phúc,Phát triển Hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/IDV/ho-so-doanh-nghiep.htm,OK,YES
ILB,HOSE,CTCP ICD Tân Cảng - Long Bình,ICD Tân Cảng - Long Bình,ICD Tan Cang ? Long Binh JSC,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ILB/ho-so-doanh-nghiep.htm,OK,YES
